ce_annual_ndx,water_type_index,water_type,distributed_water,metered_water,calculated_loss,units
2158,1,Potable Treated,939,663.4,275.6,"Gallons, Millions"
2159,1,Potable Treated,1486,1303,183,"Gallons, Millions"
2161,1,Potable Treated,1732410,1613770,118644,"Gallons, Thousands"
2162,1,Potable Treated,,,,*UNSPECIFIED*
2163,1,Potable Treated,6744,9999.3,-3255.3,Acre-feet
2163,2,Non-potable Raw,559,500.78,58.22,Acre-feet
2163,3,Non-potable Re-use,2595,2709.07,-114.07,Acre-feet
2164,1,Potable Treated,,,,"Gallons, Thousands"
2165,1,Potable Treated,1615220,1615220,0,CCF (100 cubic feet)
2165,2,Non-potable Raw,59505,59505,0,"Gallons, Thousands"
2166,1,Potable Treated,1546660,1546660,0,CCF (100 cubic feet)
2166,2,Non-potable Raw,53578,53578,0,"Gallons, Thousands"
2168,1,Potable Treated,935184000,774786000,160398000,Gallons
2169,1,Potable Treated,930649000,786613000,144036000,Gallons
2170,1,Potable Treated,899605000,722262000,177343000,Gallons
2171,1,Potable Treated,902950000,758290000,144660000,Gallons
2172,1,Potable Treated,3246,2933,313,Acre-feet
2172,2,Non-potable Raw,366,88.79,277.21,Acre-feet
2173,1,Potable Treated,3268880,3116220,152664,Acre-feet
2174,1,Potable Treated,591,517.22,73.78,"Gallons, Millions"
2174,2,Non-potable Raw,525,525.05,-0.0499878,Acre-feet
2175,1,Potable Treated,1194440000,765028000,429411000,Gallons
2175,2,Non-potable Raw,10332200,10332200,0,Gallons
2176,1,Potable Treated,2656190,2479720,176470,"Gallons, Thousands"
2176,2,Non-potable Raw,119204,103143,16061,"Gallons, Thousands"
2177,1,Potable Treated,2442270,2314850,127421,"Gallons, Thousands"
2177,2,Non-potable Raw,88925,82460,6465,"Gallons, Thousands"
2178,1,Potable Treated,3391730,2869590,522140,"Gallons, Thousands"
2179,1,Potable Treated,0,885537,-885537,"Gallons, Thousands"
2179,2,Non-potable Raw,1442,,1442,Acre-feet
2181,1,Potable Treated,4223,3837,386,"Gallons, Millions"
2181,2,Non-potable Raw,0,,0,"Gallons, Millions"
2182,1,Potable Treated,2468,2470,-2,"Gallons, Millions"
2182,2,Non-potable Raw,69,68,1,"Gallons, Millions"
2184,1,Potable Treated,889259,807231,82028,"Gallons, Thousands"
2184,2,Non-potable Raw,109173,109173,0,"Gallons, Thousands"
2186,1,Potable Treated,3551,3259.4,291.6,Acre-feet
2186,2,Non-potable Raw,,,,Acre-feet
2186,3,Non-potable Re-use,415,415,0,Acre-feet
2187,1,Potable Treated,929,739.619,189.381,"Gallons, Millions"
2188,1,Potable Treated,4663560,4282170,381386,"Gallons, Thousands"
2188,2,Non-potable Raw,154186,154186,0,"Gallons, Thousands"
2188,3,Non-potable Re-use,,,,Unspecified
2189,1,Potable Treated,3062,2669.58,392.42,"Gallons, Millions"
2190,1,Potable Treated,6710200,5936660,773545,"Gallons, Thousands"
2190,2,Non-potable Raw,95486,95486.3,-0.296875,"Gallons, Thousands"
2191,1,Potable Treated,1979540000,1912090000,67454800,Gallons
2191,2,Non-potable Raw,96777800,308341000,-211563000,Gallons
2192,1,Potable Treated,1189,1057.35,131.65,"Gallons, Millions"
2192,2,Non-potable Raw,34,33.572,0.428001,"Gallons, Millions"
2192,3,Non-potable Re-use,28,28.4871,-0.487101,"Gallons, Millions"
2193,1,Potable Treated,982478,1565760,-583282,CCF (100 cubic feet)
2193,2,Non-potable Raw,60658,60713,-55,"Gallons, Thousands"
2194,1,Potable Treated,4963030,4228810,734216,"Gallons, Thousands"
2194,2,Non-potable Raw,0,,0,"Gallons, Thousands"
2195,1,Potable Treated,3443210,3253770,189436,"Gallons, Thousands"
2196,1,Potable Treated,779779,747207,32572,"Gallons, Thousands"
2197,1,Potable Treated,186753,176108,10645,Acre-feet
