ce_annual_ndx,water_type_index,water_type,distributed_water,metered_water,calculated_loss,units,,,dwater,mwater,lwater,,325850.943,1
2081,1,Potable Treated,880120000,785122000,94998000,Gallons,,,880120,785122,94998,,,
2082,1,Potable Treated,664709000,660979000,3729980,Gallons,,,664709,660979,3729.98,,,
2089,1,Potable Treated,526240000,489547000,36693000,Gallons,,,526240,489547,36693,,,
2091,1,Potable Treated,2816560000,2832110000,-15550200,Gallons,,,2816560,2832110,-15550.2,,,
2135,1,Potable Treated,1156600000,1148260000,8340100,Gallons,,,1156600,1148260,8340.1,,,
2136,1,Potable Treated,1130850000,1111090000,19760000,Gallons,,,1130850,1111090,19760,,,
2168,1,Potable Treated,935184000,774786000,160398000,Gallons,,,935184,774786,160398,,,
2169,1,Potable Treated,930649000,786613000,144036000,Gallons,,,930649,786613,144036,,,
2170,1,Potable Treated,899605000,722262000,177343000,Gallons,,,899605,722262,177343,,,
2171,1,Potable Treated,902950000,758290000,144660000,Gallons,,,902950,758290,144660,,,
2175,1,Potable Treated,1194440000,765028000,429411000,Gallons,,,1194440,765028,429411,,,
2175,2,Non-potable Raw,10332200,10332200,0,Gallons,,,10332.2,10332.2,0,,,
2191,1,Potable Treated,1979540000,1912090000,67454800,Gallons,,,1979540,1912090,67454.8,,,
2191,2,Non-potable Raw,96777800,308341000,-211563000,Gallons,,,96777.8,308341,-211563,,,
2215,1,Potable Treated,839706000,799275000,40431000,Gallons,,,839706,799275,40431,,,
2229,1,Potable Treated,711079000,644440000,66639000,Gallons,,,711079,644440,66639,,,
2232,1,Potable Treated,716070000,648157000,67913000,Gallons,,,716070,648157,67913,,,
1916,1,Potable Treated,436.961,397.744,39.217,"Gallons, Millions",,,436961,397744,39217,,,
1916,2,Non-potable Raw,117.45,117.445,0.00499725,"Gallons, Millions",,,117450,117445,4.99725,,,
1916,3,Non-potable Re-use,204.68,200.836,3.84399,"Gallons, Millions",,,204680,200836,3843.99,,,
1929,1,Potable Treated,1338.26,1082.37,255.89,"Gallons, Millions",,,1338260,1082370,255890,,,
1932,1,Potable Treated,604,569.249,34.751,"Gallons, Millions",,,604000,569249,34751,,,
1934,1,Potable Treated,2240,2245.72,-5.71997,"Gallons, Millions",,,2240000,2245720,-5719.97,,,
1942,1,Potable Treated,1716.21,1519.7,196.51,"Gallons, Millions",,,1716210,1519700,196510,,,
1946,1,Potable Treated,1494,1010.66,483.34,"Gallons, Millions",,,1494000,1010660,483340,,,
1946,2,Non-potable Raw,223,,223,"Gallons, Millions",,,223000,0,223000,,,
1954,1,Potable Treated,921.16,690.94,230.22,"Gallons, Millions",,,921160,690940,230220,,,
1955,1,Potable Treated,1363.13,1235.94,127.19,"Gallons, Millions",,,1363130,1235940,127190,,,
1963,1,Potable Treated,1142.5,,1142.5,"Gallons, Millions",,,1142500,0,1142500,,,
1971,1,Potable Treated,7406,6871.5,534.5,"Gallons, Millions",,,7406000,6871500,534500,,,
1976,1,Potable Treated,2814,2151,663,"Gallons, Millions",,,2814000,2151000,663000,,,
1983,1,Potable Treated,2046.3,2046.1,0.200073,"Gallons, Millions",,,2046300,2046100,200.073,,,
1983,2,Non-potable Raw,62.805,62.805,0,"Gallons, Millions",,,62805,62805,0,,,
1986,1,Potable Treated,876,,876,"Gallons, Millions",,,876000,0,876000,,,
1987,1,Potable Treated,722.28,677.302,44.978,"Gallons, Millions",,,722280,677302,44978,,,
1988,1,Potable Treated,564.013,942.855,-378.842,"Gallons, Millions",,,564013,942855,-378842,,,
1999,1,Potable Treated,1331,1077,254,"Gallons, Millions",,,1331000,1077000,254000,,,
2000,1,Potable Treated,457,460.749,-3.74899,"Gallons, Millions",,,457000,460749,-3748.99,,,
2001,1,Potable Treated,921.162,696.9,224.262,"Gallons, Millions",,,921162,696900,224262,,,
2007,2,Non-potable Raw,175,,175,"Gallons, Millions",,,175000,0,175000,,,
2015,1,Potable Treated,2.26768,0,2.26768,"Gallons, Millions",,,2267.68,0,2267.68,,,
2023,1,Potable Treated,2387,2248.7,138.3,"Gallons, Millions",,,2387000,2248700,138300,,,
2023,2,Non-potable Raw,93,81.737,11.263,"Gallons, Millions",,,93000,81737,11263,,,
2024,1,Potable Treated,1635,2472.89,-837.89,"Gallons, Millions",,,1635000,2472890,-837890,,,
2028,1,Potable Treated,7433,5603,1830,"Gallons, Millions",,,7433000,5603000,1830000,,,
2029,1,Potable Treated,444.376,402.154,42.222,"Gallons, Millions",,,444376,402154,42222,,,
2029,2,Non-potable Raw,42.613,,42.613,"Gallons, Millions",,,42613,0,42613,,,
2029,3,Non-potable Re-use,128.42,195.866,-67.446,"Gallons, Millions",,,128420,195866,-67446,,,
2032,1,Potable Treated,1477.03,1249.7,227.325,"Gallons, Millions",,,1477030,1249700,227325,,,
2034,1,Potable Treated,3246.63,1890,1356.63,"Gallons, Millions",,,3246630,1890000,1356630,,,
2047,1,Potable Treated,2209.3,2209.2,0.100098,"Gallons, Millions",,,2209300,2209200,100.098,,,
2047,2,Non-potable Raw,62.5,62.5,0,"Gallons, Millions",,,62500,62500,0,,,
2060,1,Potable Treated,1384,1092.4,291.6,"Gallons, Millions",,,1384000,1092400,291600,,,
2063,1,Potable Treated,2896,2815.65,80.3501,"Gallons, Millions",,,2896000,2815650,80350.1,,,
2075,1,Potable Treated,971.98,685.2,286.78,"Gallons, Millions",,,971980,685200,286780,,,
2077,1,Potable Treated,7369,7004,365,"Gallons, Millions",,,7369000,7004000,365000,,,
2079,1,Potable Treated,451,396.37,54.63,"Gallons, Millions",,,451000,396370,54630,,,
2079,2,Non-potable Raw,151,,151,"Gallons, Millions",,,151000,0,151000,,,
2079,3,Non-potable Re-use,30,167.436,-137.436,"Gallons, Millions",,,30000,167436,-137436,,,
2080,1,Potable Treated,1477.03,1249.7,227.325,"Gallons, Millions",,,1477030,1249700,227325,,,
2088,1,Potable Treated,2435,2435.1,-0.100098,"Gallons, Millions",,,2435000,2435100,-100.098,,,
2088,2,Non-potable Raw,67,76.32,-9.32,"Gallons, Millions",,,67000,76320,-9320,,,
2092,1,Potable Treated,3330.83,3307.61,23.2219,"Gallons, Millions",,,3330830,3307610,23221.9,,,
2093,1,Potable Treated,653.792,535.317,118.475,"Gallons, Millions",,,653792,535317,118475,,,
2100,1,Potable Treated,,,,"Gallons, Millions",,,0,0,0,,,
2100,2,Non-potable Raw,,,,"Gallons, Millions",,,0,0,0,,,
2110,1,Potable Treated,4587,3865.96,721.04,"Gallons, Millions",,,4587000,3865960,721040,,,
2110,2,Non-potable Raw,,,,"Gallons, Millions",,,0,0,0,,,
2121,1,Potable Treated,1353,1219,134,"Gallons, Millions",,,1353000,1219000,134000,,,
2154,1,Potable Treated,430,450.801,-20.801,"Gallons, Millions",,,430000,450801,-20801,,,
2155,1,Potable Treated,495,508.02,-13.02,"Gallons, Millions",,,495000,508020,-13020,,,
2157,1,Potable Treated,8758,7334,1424,"Gallons, Millions",,,8758000,7334000,1424000,,,
2158,1,Potable Treated,939,663.4,275.6,"Gallons, Millions",,,939000,663400,275600,,,
2159,1,Potable Treated,1486,1303,183,"Gallons, Millions",,,1486000,1303000,183000,,,
2174,1,Potable Treated,591,517.22,73.78,"Gallons, Millions",,,591000,517220,73780,,,
2181,1,Potable Treated,4223,3837,386,"Gallons, Millions",,,4223000,3837000,386000,,,
2181,2,Non-potable Raw,0,,0,"Gallons, Millions",,,0,0,0,,,
2182,1,Potable Treated,2468,2470,-2,"Gallons, Millions",,,2468000,2470000,-2000,,,
2182,2,Non-potable Raw,69,68,1,"Gallons, Millions",,,69000,68000,1000,,,
2187,1,Potable Treated,929,739.619,189.381,"Gallons, Millions",,,929000,739619,189381,,,
2189,1,Potable Treated,3062,2669.58,392.42,"Gallons, Millions",,,3062000,2669580,392420,,,
2192,1,Potable Treated,1189,1057.35,131.65,"Gallons, Millions",,,1189000,1057350,131650,,,
2192,2,Non-potable Raw,34,33.572,0.428001,"Gallons, Millions",,,34000,33572,428.001,,,
2192,3,Non-potable Re-use,28,28.4871,-0.487101,"Gallons, Millions",,,28000,28487.1,-487.101,,,
2200,1,Potable Treated,8868,,8868,"Gallons, Millions",,,8868000,0,8868000,,,
2207,1,Potable Treated,1291,1193.7,97.3,"Gallons, Millions",,,1291000,1193700,97300,,,
2208,1,Potable Treated,7658,7013.24,644.76,"Gallons, Millions",,,7658000,7013240,644760,,,
2209,1,Potable Treated,613,554.93,58.07,"Gallons, Millions",,,613000,554930,58070,,,
2210,1,Potable Treated,54,1686.75,-1632.75,"Gallons, Millions",,,54000,1686750,-1632750,,,
2212,1,Potable Treated,498,481.69,16.31,"Gallons, Millions",,,498000,481690,16310,,,
2221,1,Potable Treated,,,,"Gallons, Millions",,,0,0,0,,,
2221,2,Non-potable Raw,,,,"Gallons, Millions",,,0,0,0,,,
2221,3,Non-potable Re-use,,,,"Gallons, Millions",,,0,0,0,,,
2222,1,Potable Treated,483,411.817,71.183,"Gallons, Millions",,,483000,411817,71183,,,
2222,2,Non-potable Raw,80,,80,"Gallons, Millions",,,80000,0,80000,,,
2222,3,Non-potable Re-use,110,205.361,-95.361,"Gallons, Millions",,,110000,205361,-95361,,,
2223,1,Potable Treated,884,697.7,186.3,"Gallons, Millions",,,884000,697700,186300,,,
2224,1,Potable Treated,1468,1325.8,142.2,"Gallons, Millions",,,1468000,1325800,142200,,,
2230,1,Potable Treated,1231,1020.8,210.2,"Gallons, Millions",,,1231000,1020800,210200,,,
2230,2,Non-potable Raw,241,241.355,-0.354996,"Gallons, Millions",,,241000,241355,-354.996,,,
2231,1,Potable Treated,,,,"Gallons, Millions",,,0,0,0,,,
2231,2,Non-potable Raw,,,,"Gallons, Millions",,,0,0,0,,,
1912,1,Potable Treated,14612000,13954800,657200,"Gallons, Thousands",,,14612000,13954800,657200,,,
1912,2,Non-potable Raw,358762,357741,1021,"Gallons, Thousands",,,358762,357741,1021,,,
1912,3,Non-potable Re-use,344000,373375,-29375,"Gallons, Thousands",,,344000,373375,-29375,,,
1924,1,Potable Treated,2761350,2436630,324720,"Gallons, Thousands",,,2761350,2436630,324720,,,
1924,2,Non-potable Raw,1233,1233,0,"Gallons, Thousands",,,1233,1233,0,,,
1925,1,Potable Treated,8.61071,8158020,-8158010,"Gallons, Thousands",,,8.61071,8158020,-8158010,,,
1926,1,Potable Treated,472067,434949,37118,"Gallons, Thousands",,,472067,434949,37118,,,
1935,1,Potable Treated,4433930,4033830,400097,"Gallons, Thousands",,,4433930,4033830,400097,,,
1935,2,Non-potable Raw,104185,104185,0,"Gallons, Thousands",,,104185,104185,0,,,
1935,3,Non-potable Re-use,81609,72872,8737,"Gallons, Thousands",,,81609,72872,8737,,,
1936,1,Potable Treated,5432980,4965710,467274,"Gallons, Thousands",,,5432980,4965710,467274,,,
1936,3,Non-potable Re-use,422940,444862,-21922,"Gallons, Thousands",,,422940,444862,-21922,,,
1938,1,Potable Treated,57452200,55209200,2242970,"Gallons, Thousands",,,57452200,55209200,2242970,,,
1938,2,Non-potable Raw,1097420,1097410,10,"Gallons, Thousands",,,1097420,1097410,10,,,
1938,3,Non-potable Re-use,554090,554085,5,"Gallons, Thousands",,,554090,554085,5,,,
1943,1,Potable Treated,1849230,24295,1824940,"Gallons, Thousands",,,1849230,24295,1824940,,,
1944,1,Potable Treated,753322,681448,71874.2,"Gallons, Thousands",,,753322,681448,71874.2,,,
1945,1,Potable Treated,6464870,900655,5564220,"Gallons, Thousands",,,6464870,900655,5564220,,,
1948,1,Potable Treated,1443150,7,1443140,"Gallons, Thousands",,,1443150,7,1443140,,,
1949,1,Potable Treated,1036200,1515550,-479350,"Gallons, Thousands",,,1036200,1515550,-479350,,,
1949,3,Non-potable Re-use,0,,0,"Gallons, Thousands",,,0,0,0,,,
1950,1,Potable Treated,2426340,2289470,136865,"Gallons, Thousands",,,2426340,2289470,136865,,,
1950,2,Non-potable Raw,89234,83777,5457,"Gallons, Thousands",,,89234,83777,5457,,,
1953,1,Potable Treated,1619650,1489240,130410,"Gallons, Thousands",,,1619650,1489240,130410,,,
1960,1,Potable Treated,5985280,5470820,514463,"Gallons, Thousands",,,5985280,5470820,514463,,,
1960,2,Non-potable Raw,96380,96379.9,0.0625,"Gallons, Thousands",,,96380,96379.9,0.0625,,,
1967,1,Potable Treated,5138760,4048340,1090420,"Gallons, Thousands",,,5138760,4048340,1090420,,,
1967,2,Non-potable Raw,0,,0,"Gallons, Thousands",,,0,0,0,,,
1968,1,Potable Treated,1434320,1239450,194870,"Gallons, Thousands",,,1434320,1239450,194870,,,
1970,1,Potable Treated,1314480,1292230,22250,"Gallons, Thousands",,,1314480,1292230,22250,,,
1972,1,Potable Treated,727872,659402,68470,"Gallons, Thousands",,,727872,659402,68470,,,
1980,1,Potable Treated,14612800,14013400,599400,"Gallons, Thousands",,,14612800,14013400,599400,,,
1980,2,Non-potable Raw,314366,318788,-4422,"Gallons, Thousands",,,314366,318788,-4422,,,
1980,3,Non-potable Re-use,344499,350170,-5671,"Gallons, Thousands",,,344499,350170,-5671,,,
