ce_annual_ndx,water_type_index,water_type,billed_unmetered_use,unbilled_authorized_use,apparent_losses,real_losses,calculated_total,units,billumu,ubillau,apploss,realloss,calctotal,,325850.943,1
1963,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1971,1,Potable Treated,0,0,0,534.9,534.9,"Gallons, Millions",0,0,0,534900,534900,,,
1976,1,Potable Treated,2200,136.32,0,0,2336.32,"Gallons, Millions",2200000,136320,0,0,2336320,,,
1983,1,Potable Treated,0,53.635,32.226,148.397,234.258,"Gallons, Millions",0,53635,32226,148397,234258,,,
1986,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1987,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1988,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1999,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2000,1,Potable Treated,0,25.68,0,0,25.68,"Gallons, Millions",0,25680,0,0,25680,,,
2001,1,Potable Treated,0,4.691,20.49,177.284,202.465,"Gallons, Millions",0,4691,20490,177284,202465,,,
2015,1,Potable Treated,0,0,0,261,261,"Gallons, Millions",0,0,0,261000,261000,,,
2023,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2024,1,Potable Treated,125,5,6,0,136,"Gallons, Millions",125000,5000,6000,0,136000,,,
2028,1,Potable Treated,0,0,0,706,706,"Gallons, Millions",0,0,0,706000,706000,,,
2029,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2032,1,Potable Treated,0,9.146,29.596,5.388,44.13,"Gallons, Millions",0,9146,29596,5388,44130,,,
2034,1,Potable Treated,2200,114.03,0,0,2314.03,"Gallons, Millions",2200000,114030,0,0,2314030,,,
2047,1,Potable Treated,0,66.627,34.656,134.721,236.004,"Gallons, Millions",0,66627,34656,134721,236004,,,
2060,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2063,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2075,1,Potable Treated,0,4.03,22.136,256.544,282.71,"Gallons, Millions",0,4030,22136,256544,282710,,,
2077,1,Potable Treated,0,92,36,381,509,"Gallons, Millions",0,92000,36000,381000,509000,,,
2079,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2080,1,Potable Treated,0,29.27,29.197,150.396,208.863,"Gallons, Millions",0,29270,29197,150396,208863,,,
2088,1,Potable Treated,0,41.99,38.256,209.382,289.628,"Gallons, Millions",0,41990,38256,209382,289628,,,
2092,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2093,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2100,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2110,1,Potable Treated,0.004,57.805,307.698,372.235,737.742,"Gallons, Millions",4,57805,307698,372235,737742,,,
2121,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2154,1,Potable Treated,0,24.33,0,0,24.33,"Gallons, Millions",0,24330,0,0,24330,,,
2155,1,Potable Treated,0,27.57,0,0,27.57,"Gallons, Millions",0,27570,0,0,27570,,,
2157,1,Potable Treated,0,104,39.6,747.7,891.3,"Gallons, Millions",0,104000,39600,747700,891300,,,
2158,1,Potable Treated,0,23.329,19.88,230.957,274.166,"Gallons, Millions",0,23329,19880,230957,274166,,,
2159,1,Potable Treated,0,28.642,123.007,152.298,303.947,"Gallons, Millions",0,28642,123007,152298,303947,,,
2174,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2181,1,Potable Treated,0.024,68.561,100.849,403.112,572.546,"Gallons, Millions",24,68561,100849,403112,572546,,,
2182,1,Potable Treated,0,19.69,38.774,197.602,256.066,"Gallons, Millions",0,19690,38774,197602,256066,,,
2187,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2189,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2192,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2207,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2208,1,Potable Treated,0,94.728,44.25,211.63,350.608,"Gallons, Millions",0,94728,44250,211630,350608,,,
2209,1,Potable Treated,0,0.68,0,0.75,1.43,"Gallons, Millions",0,680,0,750,1430,,,
2212,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2221,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2222,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2223,1,Potable Treated,0,14.263,20.534,154.352,189.149,"Gallons, Millions",0,14263,20534,154352,189149,,,
2224,1,Potable Treated,0,27.628,29.836,88.268,145.732,"Gallons, Millions",0,27628,29836,88268,145732,,,
2230,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2231,1,Potable Treated,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2023,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2029,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1916,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1946,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2047,2,Non-potable Raw,0,0,0,0,0,"Gallons, Millions",0,0,0,0,0,,,
2221,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2222,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2181,2,Non-potable Raw,0,0,0,0,0,"Gallons, Millions",0,0,0,0,0,,,
2182,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2079,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2088,2,Non-potable Raw,0,0,0,0,0,"Gallons, Millions",0,0,0,0,0,,,
2230,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2231,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2100,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2192,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
1983,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2110,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2007,2,Non-potable Raw,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2079,3,Non-potable Re-use,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2192,3,Non-potable Re-use,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2221,3,Non-potable Re-use,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2222,3,Non-potable Re-use,6.5,0,0,0,6.5,"Gallons, Millions",6500,0,0,0,6500,,,
1916,3,Non-potable Re-use,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2029,3,Non-potable Re-use,,,,,0,"Gallons, Millions",0,0,0,0,0,,,
2228,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2228,3,Non-potable Re-use,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1912,1,Potable Treated,0,245008,36620,222141,503769,"Gallons, Thousands",0,245008,36620,222141,503769,,,
1924,1,Potable Treated,0,59788,55576,209356,324720,"Gallons, Thousands",0,59788,55576,209356,324720,,,
1925,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1926,1,Potable Treated,0,28679,0,0,28679,"Gallons, Thousands",0,28679,0,0,28679,,,
1935,1,Potable Treated,3708,12978,0,388198,404884,"Gallons, Thousands",3708,12978,0,388198,404884,,,
1936,1,Potable Treated,0,73413,43115,297493,414021,"Gallons, Thousands",0,73413,43115,297493,414021,,,
1938,1,Potable Treated,0,242.046,112.238,1344.53,1698.81,"Gallons, Thousands",0,242.046,112.238,1344.53,1698.81,,,
1943,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1944,1,Potable Treated,0,9291.77,2954.08,59627.9,71873.8,"Gallons, Thousands",0,9291.77,2954.08,59627.9,71873.8,,,
1945,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1948,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1949,1,Potable Treated,2.5,0,2,40,44.5,"Gallons, Thousands",2.5,0,2,40,44.5,,,
1950,1,Potable Treated,0,0,0,136865,136865,"Gallons, Thousands",0,0,0,136865,136865,,,
1953,1,Potable Treated,0,618,0,33204,33822,"Gallons, Thousands",0,618,0,33204,33822,,,
1960,1,Potable Treated,0,52160.5,0,0,52160.5,"Gallons, Thousands",0,52160.5,0,0,52160.5,,,
1967,1,Potable Treated,0,592511,0,0,592511,"Gallons, Thousands",0,592511,0,0,592511,,,
1968,1,Potable Treated,0,0,0,184328,184328,"Gallons, Thousands",0,0,0,184328,184328,,,
1970,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1972,1,Potable Treated,0,4222,0,7703,11925,"Gallons, Thousands",0,4222,0,7703,11925,,,
1980,1,Potable Treated,0,243595,288172,102527,634294,"Gallons, Thousands",0,243595,288172,102527,634294,,,
1990,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
1997,1,Potable Treated,0,64086.1,0,0,64086.1,"Gallons, Thousands",0,64086.1,0,0,64086.1,,,
1998,1,Potable Treated,0,540197,0,0,540197,"Gallons, Thousands",0,540197,0,0,540197,,,
2005,1,Potable Treated,0,8388.2,2951.8,54696.5,66036.5,"Gallons, Thousands",0,8388.2,2951.8,54696.5,66036.5,,,
2006,1,Potable Treated,0,62985,3362,379072,445419,"Gallons, Thousands",0,62985,3362,379072,445419,,,
2007,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2010,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2014,1,Potable Treated,0,67637,275903,83504,427044,"Gallons, Thousands",0,67637,275903,83504,427044,,,
2018,1,Potable Treated,0,4200,0,7142,11342,"Gallons, Thousands",0,4200,0,7142,11342,,,
2019,1,Potable Treated,0,17764,0,0,17764,"Gallons, Thousands",0,17764,0,0,17764,,,
2022,1,Potable Treated,1884,30235,0,302333,334452,"Gallons, Thousands",1884,30235,0,302333,334452,,,
2030,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2037,1,Potable Treated,0,0,0,0,0,"Gallons, Thousands",0,0,0,0,0,,,
2048,1,Potable Treated,23314,74930,462544,66004,626792,"Gallons, Thousands",23314,74930,462544,66004,626792,,,
2049,1,Potable Treated,0,15340,35829,214317,265486,"Gallons, Thousands",0,15340,35829,214317,265486,,,
2051,1,Potable Treated,0,8092.2,2765.2,35966.2,46823.6,"Gallons, Thousands",0,8092.2,2765.2,35966.2,46823.6,,,
2053,1,Potable Treated,,,,,0,"Gallons, Thousands",0,0,0,0,0,,,
2056,1,Potable Treated,2000,0,630000,40000,672000,"Gallons, Thousands",2000,0,630000,40000,672000,,,
2061,1,Potable Treated,0,558761,0,0,558761,"Gallons, Thousands",0,558761,0,0,558761,,,
2064,1,Potable Treated,0,55360,0,0,55360,"Gallons, Thousands",0,55360,0,0,55360,,,
